================ Training Loss (Mon Dec  1 19:21:04 2025) ================
================ Training Loss (Mon Dec  1 19:21:52 2025) ================
[Rank 0] (epoch: 4, iters: 1920, time: 0.295, data: 0.004) , D_A: 0.245, G_A: 0.249, cycle_A: 0.059, idt_A: 0.032, D_B: 0.261, G_B: 0.250, cycle_B: 0.103, idt_B: 0.023

[Rank 0] (epoch: 5, iters: 160, time: 0.310, data: 0.005) , D_A: 0.246, G_A: 0.241, cycle_A: 0.069, idt_A: 0.029, D_B: 0.250, G_B: 0.247, cycle_B: 0.098, idt_B: 0.025

[Rank 0] (epoch: 5, iters: 360, time: 0.135, data: 0.005) , D_A: 0.243, G_A: 0.261, cycle_A: 0.049, idt_A: 0.030, D_B: 0.252, G_B: 0.270, cycle_B: 0.094, idt_B: 0.021

[Rank 0] (epoch: 5, iters: 560, time: 0.136, data: 0.005) , D_A: 0.247, G_A: 0.238, cycle_A: 0.048, idt_A: 0.036, D_B: 0.252, G_B: 0.239, cycle_B: 0.102, idt_B: 0.022

[Rank 0] (epoch: 5, iters: 760, time: 0.136, data: 0.005) , D_A: 0.246, G_A: 0.250, cycle_A: 0.056, idt_A: 0.034, D_B: 0.250, G_B: 0.252, cycle_B: 0.098, idt_B: 0.024

[Rank 0] (epoch: 5, iters: 960, time: 0.136, data: 0.005) , D_A: 0.259, G_A: 0.309, cycle_A: 0.057, idt_A: 0.035, D_B: 0.250, G_B: 0.247, cycle_B: 0.099, idt_B: 0.023

[Rank 0] (epoch: 5, iters: 1160, time: 0.136, data: 0.005) , D_A: 0.250, G_A: 0.240, cycle_A: 0.052, idt_A: 0.034, D_B: 0.251, G_B: 0.244, cycle_B: 0.094, idt_B: 0.021

[Rank 0] (epoch: 5, iters: 1360, time: 0.135, data: 0.005) , D_A: 0.246, G_A: 0.277, cycle_A: 0.052, idt_A: 0.032, D_B: 0.250, G_B: 0.257, cycle_B: 0.083, idt_B: 0.024

[Rank 0] (epoch: 5, iters: 1560, time: 0.135, data: 0.005) , D_A: 0.255, G_A: 0.231, cycle_A: 0.059, idt_A: 0.037, D_B: 0.253, G_B: 0.240, cycle_B: 0.111, idt_B: 0.021

[Rank 0] (epoch: 5, iters: 1760, time: 0.136, data: 0.005) , D_A: 0.249, G_A: 0.291, cycle_A: 0.043, idt_A: 0.039, D_B: 0.251, G_B: 0.257, cycle_B: 0.106, idt_B: 0.018

[Rank 0] (epoch: 5, iters: 1960, time: 0.136, data: 0.005) , D_A: 0.245, G_A: 0.252, cycle_A: 0.049, idt_A: 0.033, D_B: 0.252, G_B: 0.248, cycle_B: 0.092, idt_B: 0.024

[Rank 0] (epoch: 6, iters: 200, time: 0.150, data: 0.162) , D_A: 0.244, G_A: 0.243, cycle_A: 0.050, idt_A: 0.029, D_B: 0.254, G_B: 0.265, cycle_B: 0.075, idt_B: 0.022

[Rank 0] (epoch: 6, iters: 400, time: 0.136, data: 0.005) , D_A: 0.245, G_A: 0.253, cycle_A: 0.048, idt_A: 0.031, D_B: 0.253, G_B: 0.256, cycle_B: 0.087, idt_B: 0.020

[Rank 0] (epoch: 6, iters: 600, time: 0.136, data: 0.005) , D_A: 0.245, G_A: 0.280, cycle_A: 0.043, idt_A: 0.034, D_B: 0.254, G_B: 0.274, cycle_B: 0.088, idt_B: 0.018

[Rank 0] (epoch: 6, iters: 800, time: 0.135, data: 0.005) , D_A: 0.242, G_A: 0.240, cycle_A: 0.055, idt_A: 0.029, D_B: 0.256, G_B: 0.240, cycle_B: 0.077, idt_B: 0.024

[Rank 0] (epoch: 6, iters: 1000, time: 0.135, data: 0.005) , D_A: 0.276, G_A: 0.376, cycle_A: 0.056, idt_A: 0.028, D_B: 0.275, G_B: 0.322, cycle_B: 0.084, idt_B: 0.025

[Rank 0] (epoch: 6, iters: 1200, time: 0.136, data: 0.005) , D_A: 0.233, G_A: 0.272, cycle_A: 0.048, idt_A: 0.025, D_B: 0.248, G_B: 0.248, cycle_B: 0.065, idt_B: 0.018

[Rank 0] (epoch: 6, iters: 1400, time: 0.136, data: 0.005) , D_A: 0.245, G_A: 0.247, cycle_A: 0.052, idt_A: 0.030, D_B: 0.249, G_B: 0.248, cycle_B: 0.079, idt_B: 0.022

